1 [intro.scope]
        6.3.7 [basic.scope.class]
        6.3.8 [basic.scope.enum]
        6.3.9 [basic.scope.temp]
        6.3.10 [basic.scope.hiding]
    6.4 [basic.lookup]
        6.4.1 [basic.lookup.unqual]
        6.4.2 [basic.lookup.argdep]
        6.4.3 [basic.lookup.qual]
            6.4.3.1 [class.qual]
            6.4.3.2 [namespace.qual]
        6.4.4 [basic.lookup.elab]
        6.4.5 [basic.lookup.classref]
        6.4.6 [basic.lookup.udir]
    6.5 [basic.link]
    6.6 [basic.memobj]
        6.6.1 [intro.memory]
        6.6.2 [intro.object]
        6.6.3 [basic.life]
        6.6.4 [basic.stc]
            6.6.4.1 [basic.stc.static]
            6.6.4.2 [basic.stc.thread]
            6.6.4.3 [basic.stc.auto]
            6.6.4.4 [basic.stc.dynamic]
                6.6.4.4.1 [basic.stc.dynamic.allocation]
                6.6.4.4.2 [basic.stc.dynamic.deallocation]
                6.6.4.4.3 [basic.stc.dynamic.safety]
            6.6.4.5 [basic.stc.inherit]
        6.6.5 [basic.align]
        6.6.6 [class.temporary]
    6.7 [basic.types]
        6.7.1 [basic.fundamental]
        6.7.2 [basic.compound]
        6.7.3 [basic.type.qualifier]
        6.7.4 [conv.rank]
    6.8 [basic.exec]
        6.8.1 [intro.execution]
        6.8.2 [intro.multithread]
            6.8.2.1 [intro.races]
            6.8.2.2 [intro.progress]
        6.8.3 [basic.start]
            6.8.3.1 [basic.start.main]
            6.8.3.2 [basic.start.static]
            6.8.3.3 [basic.start.dynamic]
            6.8.3.4 [basic.start.term]
7 [expr]
    7.1 [expr.pre]
    7.2 [expr.prop]
        7.2.1 [basic.lval]
        7.2.2 [expr.type]
        7.2.3 [expr.context]
    7.3 [conv]
        7.3.1 [conv.lval]
        7.3.2 [conv.array]
        7.3.3 [conv.func]
        7.3.4 [conv.rval]
        7.3.5 [conv.qual]
        7.3.6 [conv.prom]
        7.3.7 [conv.fpprom]
        7.3.8 [conv.integral]
        7.3.9 [conv.double]
        7.3.10 [conv.fpint]
        7.3.11 [conv.ptr]
        7.3.12 [conv.mem]
        7.3.13 [conv.fctptr]
        7.3.14 [conv.bool]
    7.4 [expr.arith.conv]
    7.5 [expr.prim]
        7.5.1 [expr.prim.literal]
        7.5.2 [expr.prim.this]
        7.5.3 [expr.prim.paren]
        7.5.4 [expr.prim.id]
            7.5.4.1 [expr.prim.id.unqual]
            7.5.4.2 [expr.prim.id.qual]
            7.5.4.3 [expr.prim.id.dtor]
        7.5.5 [expr.prim.lambda]
            7.5.5.1 [expr.prim.lambda.closure]
            7.5.5.2 [expr.prim.lambda.capture]
        7.5.6 [expr.prim.fold]
        7.5.7 [expr.prim.req]
            7.5.7.1 [expr.prim.req.simple]
            7.5.7.2 [expr.prim.req.type]
            7.5.7.3 [expr.prim.req.compound]
            7.5.7.4 [expr.prim.req.nested]
    7.6 [expr.compound]
        7.6.1 [expr.post]
            7.6.1.1 [expr.sub]
            7.6.1.2 [expr.call]
            7.6.1.3 [expr.type.conv]
            7.6.1.4 [expr.ref]
            7.6.1.5 [expr.post.incr]
            7.6.1.6 [expr.dynamic.cast]
            7.6.1.7 [expr.typeid]
            7.6.1.8 [expr.static.cast]
            7.6.1.9 [expr.reinterpret.cast]
            7.6.1.10 [expr.const.cast]
        7.6.2 [expr.unary]
            7.6.2.1 [expr.unary.op]
            7.6.2.2 [expr.pre.incr]
            7.6.2.3 [expr.sizeof]
            7.6.2.4 [expr.new]
            7.6.2.5 [expr.delete]
            7.6.2.6 [expr.alignof]
            7.6.2.7 [expr.unary.noexcept]
        7.6.3 [expr.cast]
        7.6.4 [expr.mptr.oper]
        7.6.5 [expr.mul]
        7.6.6 [expr.add]
        7.6.7 [expr.shift]
        7.6.8 [expr.spaceship]
        7.6.9 [expr.rel]
        7.6.10 [expr.eq]
        7.6.11 [expr.bit.and]
        7.6.12 [expr.xor]
        7.6.13 [expr.or]
        7.6.14 [expr.log.and]
        7.6.15 [expr.log.or]
        7.6.16 [expr.cond]
        7.6.17 [expr.throw]
        7.6.18 [expr.ass]
        7.6.19 [expr.comma]
    7.7 [expr.const]
8 [stmt.stmt]
    8.1 [stmt.label]
    8.2 [stmt.expr]
    8.3 [stmt.block]
    8.4 [stmt.select]
        8.4.1 [stmt.if]
        8.4.2 [stmt.switch]
    8.5 [stmt.iter]
        8.5.1 [stmt.while]
        8.5.2 [stmt.do]
        8.5.3 [stmt.for]
        8.5.4 [stmt.ranged]
    8.6 [stmt.jump]
        8.6.1 [stmt.break]
        8.6.2 [stmt.cont]
        8.6.3 [stmt.return]
        8.6.4 [stmt.goto]
    8.7 [stmt.dcl]
    8.8 [stmt.ambig]
9 [dcl.dcl]
    9.1 [dcl.spec]
        9.1.1 [dcl.stc]
        9.1.2 [dcl.fct.spec]
        9.1.3 [dcl.typedef]
        9.1.4 [dcl.friend]
        9.1.5 [dcl.constexpr]
        9.1.6 [dcl.inline]
        9.1.7 [dcl.type]
            9.1.7.1 [dcl.type.cv]
            9.1.7.2 [dcl.type.simple]
            9.1.7.3 [dcl.type.elab]
            9.1.7.4 [dcl.type.decltype]
            9.1.7.5 [dcl.spec.auto]
                9.1.7.5.1 [dcl.type.auto.deduct]
            9.1.7.6 [dcl.type.class.deduct]
    9.2 [dcl.decl]
        9.2.1 [dcl.name]
        9.2.2 [dcl.ambig.res]
        9.2.3 [dcl.meaning]
            9.2.3.1 [dcl.ptr]
            9.2.3.2 [dcl.ref]
            9.2.3.3 [dcl.mptr]
            9.2.3.4 [dcl.array]
            9.2.3.5 [dcl.fct]
            9.2.3.6 [dcl.fct.default]
    9.3 [dcl.init]
        9.3.1 [dcl.init.aggr]
        9.3.2 [dcl.init.string]
        9.3.3 [dcl.init.ref]
        9.3.4 [dcl.init.list]
    9.4 [dcl.fct.def]
        9.4.1 [dcl.fct.def.general]
        9.4.2 [dcl.fct.def.default]
        9.4.3 [dcl.fct.def.delete]
    9.5 [dcl.struct.bind]
    9.6 [dcl.enum]
    9.7 [basic.namespace]
        9.7.1 [namespace.def]
            9.7.1.1 [namespace.unnamed]
            9.7.1.2 [namespace.memdef]
        9.7.2 [namespace.alias]
        9.7.3 [namespace.udir]
    9.8 [namespace.udecl]
    9.9 [dcl.asm]
    9.10 [dcl.link]
    9.11 [dcl.attr]
        9.11.1 [dcl.attr.grammar]
        9.11.2 [dcl.align]
        9.11.3 [dcl.attr.depend]
        9.11.4 [dcl.attr.contract]
            9.11.4.1 [dcl.attr.contract.syn]
            9.11.4.2 [dcl.attr.contract.cond]
            9.11.4.3 [dcl.attr.contract.check]
        9.11.5 [dcl.attr.deprecated]
        9.11.6 [dcl.attr.fallthrough]
        9.11.7 [dcl.attr.likelihood]
        9.11.8 [dcl.attr.unused]
        9.11.9 [dcl.attr.nodiscard]
        9.11.10 [dcl.attr.noreturn]
        9.11.11 [dcl.attr.nouniqueaddr]
10 [class]
    10.1 [class.prop]
    10.2 [class.name]
    10.3 [class.mem]
        10.3.1 [class.mfct]
        10.3.2 [class.mfct.non-static]
            10.3.2.1 [class.this]
        10.3.3 [special]
        10.3.4 [class.ctor]
            10.3.4.1 [class.default.ctor]
            10.3.4.2 [class.copy.ctor]
        10.3.5 [class.copy.assign]
        10.3.6 [class.dtor]
        10.3.7 [class.conv]
            10.3.7.1 [class.conv.ctor]
            10.3.7.2 [class.conv.fct]
        10.3.8 [class.static]
            10.3.8.1 [class.static.mfct]
            10.3.8.2 [class.static.data]
        10.3.9 [class.bit]
        10.3.10 [class.nest]
        10.3.11 [class.nested.type]
    10.4 [class.union]
        10.4.1 [class.union.anon]
    10.5 [class.local]
    10.6 [class.derived]
        10.6.1 [class.mi]
        10.6.2 [class.virtual]
        10.6.3 [class.abstract]
    10.7 [class.member.lookup]
    10.8 [class.access]
        10.8.1 [class.access.spec]
        10.8.2 [class.access.base]
        10.8.3 [class.friend]
        10.8.4 [class.protected]
        10.8.5 [class.access.virt]
        10.8.6 [class.paths]
        10.8.7 [class.access.nest]
    10.9 [class.init]
        10.9.1 [class.expl.init]
        10.9.2 [class.base.init]
        10.9.3 [class.inhctor.init]
        10.9.4 [class.cdtor]
        10.9.5 [class.copy.elision]
    10.10 [class.compare]
        10.10.1 [class.compare.default]
        10.10.2 [class.spaceship]
        10.10.3 [class.rel.eq]
    10.11 [class.free]
11 [over]
    11.1 [over.load]
    11.2 [over.dcl]
    11.3 [over.match]
        11.3.1 [over.match.funcs]
            11.3.1.1 [over.match.call]
                11.3.1.1.1 [over.call.func]
                11.3.1.1.2 [over.call.object]
            11.3.1.2 [over.match.oper]
            11.3.1.3 [over.match.ctor]
            11.3.1.4 [over.match.copy]
            11.3.1.5 [over.match.conv]
            11.3.1.6 [over.match.ref]
            11.3.1.7 [over.match.list]
            11.3.1.8 [over.match.class.deduct]
        11.3.2 [over.match.viable]
        11.3.3 [over.match.best]
            11.3.3.1 [over.best.ics]
                11.3.3.1.1 [over.ics.scs]
                11.3.3.1.2 [over.ics.user]
                11.3.3.1.3 [over.ics.ellipsis]
                11.3.3.1.4 [over.ics.ref]
                11.3.3.1.5 [over.ics.list]
            11.3.3.2 [over.ics.rank]
    11.4 [over.over]
    11.5 [over.oper]
        11.5.1 [over.unary]
        11.5.2 [over.binary]
        11.5.3 [over.ass]
        11.5.4 [over.call]
        11.5.5 [over.sub]
        11.5.6 [over.ref]
        11.5.7 [over.inc]
        11.5.8 [over.literal]
    11.6 [over.built]
12 [temp]
    12.1 [temp.param]
    12.2 [temp.names]
    12.3 [temp.arg]
        12.3.1 [temp.arg.type]
        12.3.2 [temp.arg.nontype]
        12.3.3 [temp.arg.template]
    12.4 [temp.constr]
        12.4.1 [temp.constr.constr]
            12.4.1.1 [temp.constr.op]
            12.4.1.2 [temp.constr.atomic]
        12.4.2 [temp.constr.decl]
        12.4.3 [temp.constr.normal]
        12.4.4 [temp.constr.order]
    12.5 [temp.type]
    12.6 [temp.decls]
        12.6.1 [temp.class]
            12.6.1.1 [temp.mem.func]
            12.6.1.2 [temp.mem.class]
            12.6.1.3 [temp.static]
            12.6.1.4 [temp.mem.enum]
        12.6.2 [temp.mem]
        12.6.3 [temp.variadic]
        12.6.4 [temp.friend]
        12.6.5 [temp.class.spec]
            12.6.5.1 [temp.class.spec.match]
            12.6.5.2 [temp.class.order]
            12.6.5.3 [temp.class.spec.mfunc]
        12.6.6 [temp.fct]
            12.6.6.1 [temp.over.link]
            12.6.6.2 [temp.func.order]
        12.6.7 [temp.alias]
        12.6.8 [temp.concept]
    12.7 [temp.res]
        12.7.1 [temp.local]
        12.7.2 [temp.dep]
            12.7.2.1 [temp.dep.type]
            12.7.2.2 [temp.dep.expr]
            12.7.2.3 [temp.dep.constexpr]
            12.7.2.4 [temp.dep.temp]
        12.7.3 [temp.nondep]
        12.7.4 [temp.dep.res]
            12.7.4.1 [temp.point]
            12.7.4.2 [temp.dep.candidate]
        12.7.5 [temp.inject]
    12.8 [temp.spec]
        12.8.1 [temp.inst]
        12.8.2 [temp.explicit]
        12.8.3 [temp.expl.spec]
    12.9 [temp.fct.spec]
        12.9.1 [temp.arg.explicit]
        12.9.2 [temp.deduct]
            12.9.2.1 [temp.deduct.call]
            12.9.2.2 [temp.deduct.funcaddr]
            12.9.2.3 [temp.deduct.conv]
            12.9.2.4 [temp.deduct.partial]
            12.9.2.5 [temp.deduct.type]
            12.9.2.6 [temp.deduct.decl]
        12.9.3 [temp.over]
    12.10 [temp.deduct.guide]
13 [except]
    13.1 [except.throw]
    13.2 [except.ctor]
    13.3 [except.handle]
    13.4 [except.spec]
    13.5 [except.special]
        13.5.1 [except.terminate]
        13.5.2 [except.uncaught]
14 [cpp]
    14.1 [cpp.cond]
    14.2 [cpp.include]
    14.3 [cpp.replace]
        14.3.1 [cpp.subst]
        14.3.2 [cpp.stringize]
        14.3.3 [cpp.concat]
        14.3.4 [cpp.rescan]
        14.3.5 [cpp.scope]
    14.4 [cpp.line]
    14.5 [cpp.error]
    14.6 [cpp.pragma]
    14.7 [cpp.null]
    14.8 [cpp.predefined]
    14.9 [cpp.pragma.op]
15 [library]
    15.1 [library.general]
    15.2 [library.c]
    15.3 [definitions]
        15.3.1 [defns.arbitrary.stream]
        15.3.2 [defns.character]
        15.3.3 [defns.character.container]
        15.3.4 [defns.comparison]
        15.3.5 [defns.component]
        15.3.6 [defns.const.subexpr]
        15.3.7 [defns.deadlock]
        15.3.8 [defns.default.behavior.impl]
        15.3.9 [defns.default.behavior.func]
        15.3.10 [defns.direct-non-list-init]
        15.3.11 [defns.expression-equivalent]
        15.3.12 [defns.handler]
        15.3.13 [defns.iostream.templates]
        15.3.14 [defns.modifier]
        15.3.15 [defns.move.assign]
        15.3.16 [defns.move.constr]
        15.3.17 [defns.ntcts]
        15.3.18 [defns.observer]
        15.3.19 [defns.prog.def.spec]
        15.3.20 [defns.prog.def.type]
        15.3.21 [defns.projection]
        15.3.22 [defns.referenceable]
        15.3.23 [defns.replacement]
        15.3.24 [defns.repositional.stream]
        15.3.25 [defns.required.behavior]
        15.3.26 [defns.reserved.function]
        15.3.27 [defns.stable]
        15.3.28 [defns.traits]
        15.3.29 [defns.valid]
    15.4 [description]
        15.4.1 [structure]
            15.4.1.1 [structure.elements]
            15.4.1.2 [structure.summary]
            15.4.1.3 [structure.requirements]
            15.4.1.4 [structure.specifications]
            15.4.1.5 [structure.see.also]
        15.4.2 [conventions]
            15.4.2.1 [type.descriptions]
                15.4.2.1.1 [type.descriptions.general]
                15.4.2.1.2 [expos.only.types]
                15.4.2.1.3 [enumerated.types]
                15.4.2.1.4 [bitmask.types]
                15.4.2.1.5 [character.seq]
                    15.4.2.1.5.1 [byte.strings]
                    15.4.2.1.5.2 [multibyte.strings]
                15.4.2.1.6 [customization.point.object]
            15.4.2.2 [functions.within.classes]
            15.4.2.3 [operators]
            15.4.2.4 [objects.within.classes]
    15.5 [requirements]
        15.5.1 [organization]
            15.5.1.1 [contents]
            15.5.1.2 [headers]
            15.5.1.3 [compliance]
        15.5.2 [using]
            15.5.2.1 [using.overview]
            15.5.2.2 [using.headers]
            15.5.2.3 [using.linkage]
        15.5.3 [utility.requirements]
            15.5.3.1 [utility.arg.requirements]
            15.5.3.2 [swappable.requirements]
            15.5.3.3 [nullablepointer.requirements]
            15.5.3.4 [hash.requirements]
            15.5.3.5 [allocator.requirements]
                15.5.3.5.1 [allocator.requirements.completeness]
        15.5.4 [constraints]
            15.5.4.1 [constraints.overview]
            15.5.4.2 [namespace.constraints]
                15.5.4.2.1 [namespace.std]
                15.5.4.2.2 [namespace.posix]
                15.5.4.2.3 [namespace.future]
            15.5.4.3 [reserved.names]
                15.5.4.3.1 [zombie.names]
                15.5.4.3.2 [macro.names]
                15.5.4.3.3 [extern.names]
                15.5.4.3.4 [extern.types]
                15.5.4.3.5 [usrlit.suffix]
            15.5.4.4 [alt.headers]
            15.5.4.5 [derived.classes]
            15.5.4.6 [replacement.functions]
            15.5.4.7 [handler.functions]
            15.5.4.8 [res.on.functions]
            15.5.4.9 [res.on.arguments]
            15.5.4.10 [res.on.objects]
            15.5.4.11 [res.on.required]
            15.5.4.12 [res.on.requirements]
        15.5.5 [conforming]
            15.5.5.1 [conforming.overview]
            15.5.5.2 [res.on.headers]
            15.5.5.3 [res.on.macro.definitions]
            15.5.5.4 [global.functions]
            15.5.5.5 [member.functions]
            15.5.5.6 [constexpr.functions]
            15.5.5.7 [algorithm.stable]
            15.5.5.8 [reentrancy]
            15.5.5.9 [res.on.data.races]
            15.5.5.10 [protection.within.classes]
            15.5.5.11 [derivation]
            15.5.5.12 [res.on.exception.handling]
            15.5.5.13 [res.on.pointer.storage]
            15.5.5.14 [value.error.codes]
            15.5.5.15 [lib.types.movedfrom]
16 [language.support]
    16.1 [support.general]
    16.2 [support.types]
        16.2.1 [cstddef.syn]
        16.2.2 [cstdlib.syn]
        16.2.3 [support.types.nullptr]
        16.2.4 [support.types.layout]
        16.2.5 [support.types.byteops]
    16.3 [support.limits]
        16.3.1 [support.limits.general]
        16.3.2 [limits.syn]
        16.3.3 [fp.style]
            16.3.3.1 [round.style]
            16.3.3.2 [denorm.style]
        16.3.4 [numeric.limits]
            16.3.4.1 [numeric.limits.members]
            16.3.4.2 [numeric.special]
        16.3.5 [climits.syn]
        16.3.6 [cfloat.syn]
    16.4 [cstdint]
        16.4.1 [cstdint.syn]
    16.5 [support.start.term]
    16.6 [support.dynamic]
        16.6.1 [new.syn]
        16.6.2 [new.delete]
            16.6.2.1 [new.delete.single]
            16.6.2.2 [new.delete.array]
            16.6.2.3 [new.delete.placement]
            16.6.2.4 [new.delete.dataraces]
        16.6.3 [alloc.errors]
            16.6.3.1 [bad.alloc]
            16.6.3.2 [new.badlength]
            16.6.3.3 [new.handler]
            16.6.3.4 [set.new.handler]
            16.6.3.5 [get.new.handler]
        16.6.4 [ptr.launder]
        16.6.5 [hardware.interference]
    16.7 [support.rtti]
        16.7.1 [typeinfo.syn]
        16.7.2 [type.info]
        16.7.3 [bad.cast]
        16.7.4 [bad.typeid]
    16.8 [support.contract]
        16.8.1 [contract.syn]
        16.8.2 [support.contract.cviol]
    16.9 [support.exception]
        16.9.1 [exception.syn]
        16.9.2 [exception]
        16.9.3 [bad.exception]
        16.9.4 [exception.terminate]
            16.9.4.1 [terminate.handler]
            16.9.4.2 [set.terminate]
            16.9.4.3 [get.terminate]
            16.9.4.4 [terminate]
        16.9.5 [uncaught.exceptions]
        16.9.6 [propagation]
        16.9.7 [except.nested]
    16.10 [support.initlist]
        16.10.1 [initializer_list.syn]
        16.10.2 [support.initlist.cons]
        16.10.3 [support.initlist.access]
        16.10.4 [support.initlist.range]
    16.11 [cmp]
        16.11.1 [compare.syn]
        16.11.2 [cmp.categories]
            16.11.2.1 [cmp.categories.pre]
            16.11.2.2 [cmp.weakeq]
            16.11.2.3 [cmp.strongeq]
            16.11.2.4 [cmp.partialord]
            16.11.2.5 [cmp.weakord]
            16.11.2.6 [cmp.strongord]
        16.11.3 [cmp.common]
        16.11.4 [cmp.alg]
    16.12 [support.runtime]
        16.12.1 [cstdarg.syn]
        16.12.2 [csetjmp.syn]
        16.12.3 [csignal.syn]
        16.12.4 [support.signal]
17 [concepts]
    17.1 [concepts.general]
    17.2 [concepts.equality]
    17.3 [concepts.syn]
    17.4 [concepts.lang]
        17.4.1 [concepts.lang.general]
        17.4.2 [concept.same]
        17.4.3 [concept.derivedfrom]
        17.4.4 [concept.convertibleto]
        17.4.5 [concept.commonref]
        17.4.6 [concept.common]
        17.4.7 [concepts.integral]
        17.4.8 [concept.assignable]
        17.4.9 [concept.swappable]
        17.4.10 [concept.destructible]
        17.4.11 [concept.constructible]
        17.4.12 [concept.defaultconstructible]
        17.4.13 [concept.moveconstructible]
        17.4.14 [concept.copyconstructible]
    17.5 [concepts.compare]
        17.5.1 [concepts.compare.general]
        17.5.2 [concept.boolean]
        17.5.3 [concept.equalitycomparable]
        17.5.4 [concept.stricttotallyordered]
    17.6 [concepts.object]
    17.7 [concepts.callable]
        17.7.1 [concepts.callable.general]
        17.7.2 [concept.invocable]
        17.7.3 [concept.regularinvocable]
        17.7.4 [concept.predicate]
        17.7.5 [concept.relation]
        17.7.6 [concept.strictweakorder]
18 [diagnostics]
    18.1 [diagnostics.general]
    18.2 [std.exceptions]
        18.2.1 [stdexcept.syn]
        18.2.2 [logic.error]
        18.2.3 [domain.error]
        18.2.4 [invalid.argument]
        18.2.5 [length.error]
        18.2.6 [out.of.range]
        18.2.7 [runtime.error]
        18.2.8 [range.error]
        18.2.9 [overflow.error]
        18.2.10 [underflow.error]
    18.3 [assertions]
        18.3.1 [cassert.syn]
        18.3.2 [assertions.assert]
    18.4 [errno]
        18.4.1 [cerrno.syn]
    18.5 [syserr]
        18.5.1 [system_error.syn]
        18.5.2 [syserr.errcat]
            18.5.2.1 [syserr.errcat.overview]
            18.5.2.2 [syserr.errcat.virtuals]
            18.5.2.3 [syserr.errcat.nonvirtuals]
            18.5.2.4 [syserr.errcat.derived]
            18.5.2.5 [syserr.errcat.objects]
        18.5.3 [syserr.errcode]
            18.5.3.1 [syserr.errcode.overview]
            18.5.3.2 [syserr.errcode.constructors]
            18.5.3.3 [syserr.errcode.modifiers]
            18.5.3.4 [syserr.errcode.observers]
            18.5.3.5 [syserr.errcode.nonmembers]
        18.5.4 [syserr.errcondition]
            18.5.4.1 [syserr.errcondition.overview]
            18.5.4.2 [syserr.errcondition.constructors]
            18.5.4.3 [syserr.errcondition.modifiers]
            18.5.4.4 [syserr.errcondition.observers]
            18.5.4.5 [syserr.errcondition.nonmembers]
        18.5.5 [syserr.compare]
        18.5.6 [syserr.hash]
        18.5.7 [syserr.syserr]
            18.5.7.1 [syserr.syserr.overview]
            18.5.7.2 [syserr.syserr.members]
19 [utilities]
    19.1 [utilities.general]
    19.2 [utility]
        19.2.1 [utility.syn]
        19.2.2 [utility.swap]
        19.2.3 [utility.exchange]
        19.2.4 [forward]
        19.2.5 [utility.as_const]
        19.2.6 [declval]
    19.3 [intseq]
        19.3.1 [intseq.general]
        19.3.2 [intseq.intseq]
        19.3.3 [intseq.make]
    19.4 [pairs]
        19.4.1 [pairs.general]
        19.4.2 [pairs.pair]
        19.4.3 [pairs.spec]
        19.4.4 [pair.astuple]
        19.4.5 [pair.piecewise]
    19.5 [tuple]
        19.5.1 [tuple.general]
        19.5.2 [tuple.syn]
        19.5.3 [tuple.tuple]
            19.5.3.1 [tuple.cnstr]
            19.5.3.2 [tuple.assign]
            19.5.3.3 [tuple.swap]
            19.5.3.4 [tuple.creation]
            19.5.3.5 [tuple.apply]
            19.5.3.6 [tuple.helper]
            19.5.3.7 [tuple.elem]
            19.5.3.8 [tuple.rel]
            19.5.3.9 [tuple.traits]
            19.5.3.10 [tuple.special]
    19.6 [optional]
        19.6.1 [optional.general]
        19.6.2 [optional.syn]
        19.6.3 [optional.optional]
            19.6.3.1 [optional.ctor]
            19.6.3.2 [optional.dtor]
            19.6.3.3 [optional.assign]
            19.6.3.4 [optional.swap]
            19.6.3.5 [optional.observe]
            19.6.3.6 [optional.mod]
        19.6.4 [optional.nullopt]
        19.6.5 [optional.bad.access]
        19.6.6 [optional.relops]
        19.6.7 [optional.nullops]
        19.6.8 [optional.comp_with_t]
        19.6.9 [optional.specalg]
        19.6.10 [optional.hash]
    19.7 [variant]
        19.7.1 [variant.general]
        19.7.2 [variant.syn]
        19.7.3 [variant.variant]
            19.7.3.1 [variant.ctor]
            19.7.3.2 [variant.dtor]
            19.7.3.3 [variant.assign]
            19.7.3.4 [variant.mod]
            19.7.3.5 [variant.status]
            19.7.3.6 [variant.swap]
        19.7.4 [variant.helper]
        19.7.5 [variant.get]
        19.7.6 [variant.relops]
        19.7.7 [variant.visit]
        19.7.8 [variant.monostate]
        19.7.9 [variant.monostate.relops]
        19.7.10 [variant.specalg]
        19.7.11 [variant.bad.access]
        19.7.12 [variant.hash]
    19.8 [any]
        19.8.1 [any.synop]
        19.8.2 [any.bad_any_cast]
        19.8.3 [any.class]
            19.8.3.1 [any.cons]
            19.8.3.2 [any.assign]
            19.8.3.3 [any.modifiers]
            19.8.3.4 [any.observers]
        19.8.4 [any.nonmembers]
    19.9 [bitset]
        19.9.1 [bitset.syn]
        19.9.2 [template.bitset]
            19.9.2.1 [bitset.cons]
            19.9.2.2 [bitset.members]
        19.9.3 [bitset.hash]
        19.9.4 [bitset.operators]
    19.10 [memory]
        19.10.1 [memory.general]
        19.10.2 [memory.syn]
        19.10.3 [pointer.traits]
            19.10.3.1 [pointer.traits.types]
            19.10.3.2 [pointer.traits.functions]
            19.10.3.3 [pointer.traits.optmem]
        19.10.4 [pointer.conversion]
        19.10.5 [util.dynamic.safety]
        19.10.6 [ptr.align]
        19.10.7 [allocator.tag]
        19.10.8 [allocator.uses]
            19.10.8.1 [allocator.uses.trait]
            19.10.8.2 [allocator.uses.construction]
        19.10.9 [allocator.traits]
            19.10.9.1 [allocator.traits.types]
            19.10.9.2 [allocator.traits.members]
        19.10.10 [default.allocator]
            19.10.10.1 [allocator.members]
            19.10.10.2 [allocator.globals]
        19.10.11 [specialized.algorithms]
            19.10.11.1 [special.mem.concepts]
            19.10.11.2 [specialized.addressof]
            19.10.11.3 [uninitialized.construct.default]
            19.10.11.4 [uninitialized.construct.value]
            19.10.11.5 [uninitialized.copy]
            19.10.11.6 [uninitialized.move]
            19.10.11.7 [uninitialized.fill]
            19.10.11.8 [specialized.destroy]
        19.10.12 [c.malloc]
    19.11 [smartptr]
        19.11.1 [unique.ptr]
            19.11.1.1 [unique.ptr.dltr]
                19.11.1.1.1 [unique.ptr.dltr.general]
                19.11.1.1.2 [unique.ptr.dltr.dflt]
                19.11.1.1.3 [unique.ptr.dltr.dflt1]
            19.11.1.2 [unique.ptr.single]
                19.11.1.2.1 [unique.ptr.single.ctor]
                19.11.1.2.2 [unique.ptr.single.dtor]
                19.11.1.2.3 [unique.ptr.single.asgn]
                19.11.1.2.4 [unique.ptr.single.observers]
                19.11.1.2.5 [unique.ptr.single.modifiers]
            19.11.1.3 [unique.ptr.runtime]
                19.11.1.3.1 [unique.ptr.runtime.ctor]
                19.11.1.3.2 [unique.ptr.runtime.asgn]
                19.11.1.3.3 [unique.ptr.runtime.observers]
                19.11.1.3.4 [unique.ptr.runtime.modifiers]
            19.11.1.4 [unique.ptr.create]
            19.11.1.5 [unique.ptr.special]
            19.11.1.6 [unique.ptr.io]
        19.11.2 [util.smartptr.weak.bad]
        19.11.3 [util.smartptr.shared]
            19.11.3.1 [util.smartptr.shared.const]
            19.11.3.2 [util.smartptr.shared.dest]
            19.11.3.3 [util.smartptr.shared.assign]
            19.11.3.4 [util.smartptr.shared.mod]
            19.11.3.5 [util.smartptr.shared.obs]
